LOCALIDAD_DEL_HECHO,hombre,mujer,total_suicides_2023_2025
ANTONIO NARINO,7,5,12
BARRIOS UNIDOS,16,5,21
BOSA,78,29,107
CHAPINERO,35,8,43
CIUDAD BOLIVAR,85,28,113
ENGATIVA,76,24,100
FONTIBON,30,11,41
KENNEDY,96,43,139
LA CANDELARIA,3,2,5
LOS MARTIRES,6,4,10
PUENTE ARANDA,22,5,27
RAFAEL URIBE URIBE,30,13,43
SAN CRISTOBAL,54,10,64
SANTA FE,30,4,34
SUBA,88,39,127
SUMAPAZ,0,0,0
TEUSAQUILLO,27,10,37
TUNJUELITO,22,10,32
USAQUEN,75,19,94
USME,53,16,69
